,"Manufacturer","Model","Weight.oz","Dim.1.in","Dim.2.in","Dim.3.in","Talk.hr","Standby.hr","Volume.in3","Composite","Years"
"876","Kyocera","S1000 / K126c",2.68,4.14,1.83,0.65,3,220,4.92453,30.9026330358,2007.194520548
"946","Samsung","SCH-R400",3.4,3.9,1.9,0.57,3.3,170,4.2237,24.4631871663,2007.2328767123
"944","Samsung","SCH-R500 Hue",3.22,3.72,1.95,0.65,2.7,230,4.7151,30.6864437751,2007.2383561644
"918","Motorola","RAZR2 V9m",4.13,4.06,2.1,0.47,3.7,290,4.00722,37.9122108042,2007.2410958904
"850","Samsung","SCH-i760",5.29,4.48,2.28,0.76,3.5,180,7.762944,15.1306862268,2007.2438356164
"878","Nokia","6110",4.41,3.98,1.93,0.79,3.5,264,6.068306,26.8650295191,2007.2547945206
"886","Motorola","ROKR Z6m",3.81,4.15,1.79,0.64,4.3,370,4.75424,45.713338253,2007.2547945206
"880","LG","LX-160 / Flare",2.86,3.54,1.85,0.78,3.5,170,5.10822,23.5309768054,2007.2602739726
"884","Motorola","RIZR Z6tv",3.7,4.15,1.79,0.64,4.5,390,4.75424,48.7920853915,2007.2630136986
"947","LG","VX-8350",3.3,3.73,1.97,0.87,3.5,210,6.392847,23.4709162334,2007.2712328767
"908","Samsung","SGH-E840",3.49,4.02,2.09,0.42,4.5,360,3.528756,54.4968367614,2007.2739726027
"885","LG","Trax CU575",3.89,3.89,2.01,0.62,3,300,4.847718,36.050602686,2007.2931506849
"888","Nokia","8600 Luna",4.94,4.21,1.77,0.63,3.7,240,4.694571,26.8304629236,2007.2931506849
"840","HTC","5800 / Fusion / S720",4.23,4.07,2.01,0.76,7.3,200,6.217332,22.6373585141,2007.301369863
"889","Pantech","Duo C810",3.88,4.01,1.97,0.78,3,250,6.161766,26.389780443,2007.301369863
"892","LG","VX-5400",3.21,3.54,1.87,0.89,4.7,400,5.891622,46.5301679195,2007.3123287671
"967","Nokia","6555",3.42,3.92,1.74,0.77,6,276,5.252016,35.2859127566,2007.3178082192
"893","BlackBerry","8830",4.6,4.49,2.6,0.55,3.7,216,6.4207,21.278140227,2007.3287671233
"895","Samsung","SGH-A117",2.86,3.39,1.67,0.76,5,250,4.302588,38.3939436416,2007.3342465753
"896","Nokia","3555",3.32,3.94,1.75,0.83,3,240,5.72285,28.1990744069,2007.3342465753
"897","Nokia","2660",2.79,3.43,1.76,0.81,7,312,4.889808,45.1834212522,2007.3369863014
"901","Samsung","SCH-R200",2.32,4.13,1.61,0.41,2.9,281,2.726213,58.5587647608,2007.3506849315
"902","LG","VX-8550 Chocolate",3.24,3.85,1.87,0.67,4.2,350,4.823665,46.0088557746,2007.3561643836
"890","Palm","Treo 755p",5.64,4.4,2.3,0.84,4.2,240,8.5008,18.4572301426,2007.3589041096
"898","BlackBerry","Curve 8300",3.92,4.2,2.36,0.61,4,408,6.04632,42.9446375392,2007.3589041096
"903","Samsung","Blast SGH-T729",2.8,4.16,2.04,0.5,5,199,4.2432,31.8037255793,2007.3671232877
"905","Kyocera","Deco E1000",3.63,3.54,1.81,0.78,3.7,215,4.997772,27.0637657092,2007.3698630137
"917","Motorola","RAZR2 V8",4.13,4.06,2.09,0.47,8.3,280,3.988138,39.6026773627,2007.3698630137
"852","Apple","iPhone",4.8,4.5,2.4,0.46,8,250,4.968,29.6887796888,2007.3753424658
"906","Nokia","6267",3.7,3.7,1.85,0.85,6.5,300,5.81825,34.9328920757,2007.3753424658
"907","Nokia","2760",2.84,3.43,1.76,0.81,2.3,264,4.889808,35.6412474928,2007.3863013699
"910","Samsung","SGH-T409",3.1,3.54,1.85,0.77,5,200,5.04273,27.6320103945,2007.3917808219
"911","Sanyo","Katana II",3.1,3.74,1.91,0.57,3.5,820,4.071738,116.777829865,2007.394520548
"913","Samsung","SCH-R610",2.92,4.06,2.02,0.5,3.3,325,4.1006,48.6425661624,2007.394520548
"912","Nokia","1208",2.73,4.02,1.74,0.69,7,365,4.826412,52.9351761127,2007.397260274
"914","UTStarcom","CDM-7026",3.2,3.7,1.9,0.7,3.8,220,4.921,29.4298731683,2007.4109589041
"916","LG","CE110",2.86,3.52,1.85,0.82,3.2,250,5.33984,32.4396573592,2007.4136986301
"899","Sony","Ericsson W580 / S500",3.32,3.9,1.85,0.55,9,370,3.96825,56.9409666244,2007.4164383562
"919","Samsung","SGH-A517",2.9,3.74,1.89,0.63,3,250,4.453218,36.0386432172,2007.4520547945
"920","Motorola","ROKR U9",3.09,3.54,1.91,0.65,7.2,350,4.39491,51.5704263645,2007.4547945206
"921","Kyocera","Wild Card / Lingo / M1000",3.53,3.94,1.97,0.79,3.3,150,6.131822,17.2327745222,2007.4547945206
"922","Samsung","SGH-T429",2.9,3.9,1.94,0.56,6,336,4.23696,51.2823386988,2007.4630136986
"923","Huawei","M318",3.2,3.54,1.77,0.7,3.5,192,4.38606,27.6164438457,2007.4657534247
"925","Samsung","Fin",3.35,4.06,2.04,0.45,3,192,3.72708,29.2493514274,2007.4657534247
"926","Samsung","SCH-R410",3.4,3.9,1.9,0.57,2.5,200,4.2237,27.8736046801,2007.4684931507
"927","Samsung","Gleam SCH-U700 / Muse",3.35,3.88,1.91,0.55,3.5,250,4.07594,36.0223756184,2007.4712328767
"928","Sanyo","Katana DLX",3.5,3.7,1.9,0.68,4,920,4.7804,113.5210859379,2007.4712328767
"978","UTStarcom","Coupe 8630",3.3,3.8,1.8,0.8,3.7,229,5.472,28.2147742818,2007.4739726027
"931","Nokia","2630",2.33,4.13,1.77,0.39,6,312,2.850939,66.0111999002,2007.4849315069
"932","Motorola","i425",3.9,4.9,1.9,0.47,2.8,120,4.3757,16.1919837597,2007.4849315069
"934","Nokia","6120 / 6120c / 6121 classic",3.14,4.13,1.81,0.59,3.1,216,4.410427,30.6605176105,2007.4876712329
"904","Motorola","RAZR2 V9 / V9x",4.41,4.06,2.09,0.53,3,295,4.497262,34.803062939,2007.4931506849
"936","LG","CG180",2.37,3.91,1.77,0.58,3,250,4.014006,41.5099860495,2007.501369863
"937","Kyocera","Tempo E2000",3.35,3.5,2.05,0.66,3.5,210,4.7355,28.1367880774,2007.501369863
"938","Samsung","SGH-G600",3.7,4.02,1.89,0.59,3.3,300,4.482702,38.679155125,2007.504109589
"939","Samsung","SGH-A127",2.86,3.39,1.67,0.76,5,250,4.302588,38.3939436416,2007.504109589
"915","Samsung","SGH-T639",3.17,3.73,1.95,0.66,2.5,200,4.80051,26.660778294,2007.5095890411
"942","BlackBerry","8820",4.73,4.49,2.6,0.55,5,528,6.4207,49.5932990754,2007.5123287671
"943","Motorola","Q9m / Q9c",4.76,4.61,2.56,0.47,4.5,212,5.546752,22.7520755326,2007.5123287671
"945","Samsung","Beat SGH-T539",2.7,3.54,1.8,0.7,6,360,4.4604,54.4662309368,2007.5232876712
"874","Motorola","Q Global / Q9h",4.73,4.65,2.64,0.46,6.5,480,5.64696,49.3882601456,2007.5315068493
"948","Samsung","Katalyst SGH-T739",4.1,3.97,1.98,0.65,5,240,5.10939,28.7749785816,2007.5315068493
"951","LG","Rumor / Scoop / UX-260",4.13,4.3,2,0.7,4.5,950,6.02,95.8128078818,2007.5397260274
"952","HTC","Touch (CDMA) / XV6900",3.99,3.97,2.34,0.55,3.5,240,5.10939,28.2986002358,2007.5479452055
"953","LG","LX-400",3.42,3.66,1.88,0.82,5,1000,5.642256,113.1064935707,2007.5589041096
"861","HTC","S710 (Vox)",4.94,4,1.97,0.73,7,175,5.7524,19.6401182148,2007.5643835616
"941","Nokia","6500 classic",3.32,4.32,1.77,0.37,5.5,300,2.829168,53.2592376725,2007.5643835616
"954","HTC","Tilt 8925 / TyTN II",6.7,4.41,2.32,0.75,4.4,350,7.6734,25.8811415531,2007.5643835616
"966","Sharp","Sidekick LX 2007",5.7,5.12,2.36,0.7,6.8,96,8.45824,9.1819322176,2007.5890410959
"959","Samsung","FlipShot SCH-U900",3.88,3.76,1.83,0.73,4,350,5.022984,41.5590997355,2007.602739726
"962","BlackBerry","Curve 8310",3.9,4.2,2.4,0.6,4,408,6.048,43.0237233615,2007.6164383562
"963","LG","CU515",3.36,3.78,1.95,0.72,3.5,398,5.30712,47.939800072,2007.6191780822
"964","Nokia","6263",3.7,3.72,1.88,0.85,3.3,270,5.94456,29.7058652753,2007.6273972603
"965","Nokia","N95 8GB",4.52,3.9,2.09,0.83,5,280,6.76533,27.0262367162,2007.6356164384
"935","Motorola","i290",2.97,4.94,1.9,0.53,4.1,80,4.97458,12.6501338019,2007.6383561644
"969","Motorola","i335",3.5,4.7,1.8,0.5,3.3,1000,4.23,131.5006468305,2007.6383561644
"970","LG","Venus VX-8800",3.79,4,2,0.62,4,480,4.96,57.1428571429,2007.6410958904
"971","Nokia","2135",2.75,4.09,1.67,0.65,3.5,264,4.439695,39.1532603261,2007.6410958904
"940","Nokia","6500 slide",4.34,3.8,1.83,0.65,6,320,4.5201,39.5029401474,2007.6438356164
"972","LG","Voyager VX-10000",4.69,4.64,2.12,0.71,4,480,6.984128,42.8297513956,2007.6438356164
"960","Nokia","7900 Prism",3.56,4.41,1.77,0.43,3,300,3.356451,45.5435887567,2007.6465753425
"993","Motorola","Z6c World Edition",3.7,4.15,1.79,0.64,4.9,375,4.75424,47.2543954276,2007.6465753425
"973","BlackBerry","Curve 8320",3.92,4.21,2.36,0.61,4,408,6.060716,42.882694989,2007.6575342466
"949","Samsung","SGH-A737 / SGH-A736",3.16,3.9,1.9,0.6,3,250,4.446,34.8409150671,2007.6630136986
"976","Nokia","5310",2.48,4.09,1.76,0.39,5,300,2.807376,61.4671625396,2007.6630136986
"974","Nokia","N81",4.94,4.02,1.97,0.7,4,408,5.54358,40.8257484562,2007.6849315069
"981","Sanyo","S1",2.5,4.39,1.77,0.44,3.5,840,3.418932,144.8741090453,2007.701369863
"982","Samsung","Juke U470",2.82,3.82,1.18,0.83,3.5,250,3.741308,40.7693100217,2007.704109589
"983","Sony","Ericsson W910",3.03,3.92,1.97,0.49,9,350,3.783976,57.9690917608,2007.704109589
"877","Motorola","Sidekick Slide",5.3,4.65,2.44,0.69,5.9,86,7.82874,8.7974931334,2007.7150684932
"900","Sony","Ericsson Z750",3.88,3.83,1.93,0.79,9,400,5.839601,45.7837723997,2007.7342465753
"985","HTC","Shadow",5.29,4.06,2.09,0.59,5,160,5.006386,17.9674693626,2007.7369863014
"979","HP","iPAQ 610 Business Navigator",5.1,4.61,2.37,0.69,4,250,7.538733,21.3629008541,2007.7424657534
"987","Samsung","SGH-T439",3.2,3.7,1.9,0.65,6,288,4.5695,40.9292747281,2007.7424657534
"883","Motorola","W395",3.42,3.9,1.77,0.71,8.3,200,4.90113,29.0225005498,2007.7506849315
"1150","Motorola","ACTV W450",3.5,4.18,1.8,0.74,7.5,250,5.56776,31.7057354848,2007.7506849315
"989","Samsung","SCH-R300",2.9,3.5,1.8,0.78,3,325,4.914,43.511645764,2007.7561643836
"990","BlackBerry","Pearl 8120",3.21,4.21,1.97,0.55,4,360,4.561535,48.8963891947,2007.7589041096
"991","Samsung","BlackJack II SGH-i617",4.09,4.48,2.39,0.51,7,336,5.460672,38.8454341223,2007.7698630137
"986","Palm","Centro 690 (CDMA)",4.2,4.22,2.11,0.73,3.5,300,6.500066,29.6727141683,2007.7726027397
"933","Sony","Ericsson K850",4.2,4,1.9,0.7,3.5,350,5.32,38.6029411765,2007.7890410959
"992","Samsung","SLM SGH-A747",3.17,3.96,1.99,0.51,3,250,4.019004,36.8618517948,2007.794520548
"995","LG","Shine CU720",4.28,3.93,1.99,0.59,3,240,4.614213,28.6703275489,2007.8
"998","Samsung","SGH-T819",3.46,3.96,2.03,0.55,5,300,4.42134,41.2366424999,2007.8082191781
"955","Motorola","W175",3,4.49,1.69,0.55,9.8,465,4.173455,71.6530597878,2007.8109589041
"999","Samsung","SPH-Z400",4.06,3.73,1.91,1,5.8,1300,7.1243,118.8272846758,2007.8109589041
"1001","Samsung","Ace SPH-i325",3.9,4.65,2.32,0.46,4.3,1300,4.96248,149.1117610421,2007.8136986301
"988","BlackBerry","Pearl 8130",3.4,4.2,1.97,0.55,3.7,216,4.5507,29.4942583672,2007.8164383562
"994","LG","Vu / CU920 / CU915",3.16,4.25,2.16,0.51,3,250,4.6818,33.7932617511,2007.8356164384
"984","Nokia","E51",3.53,4.49,1.81,0.47,4.4,312,3.819643,45.4443841694,2007.8520547945
"1003","Motorola","ROKR E8",3.77,4.57,2.11,0.43,6,300,4.146361,41.6858200378,2007.8520547945
"1004","Samsung","SCH-U550",3.17,3.76,1.92,0.68,3.5,200,4.909056,26.9214621114,2007.8657534247
"1005","Nokia","N82",4.02,4.41,1.98,0.68,4.3,225,5.937624,24.75490137,2007.8712328767
"1006","Motorola","Z9",4.94,4.49,2.11,0.55,3,288,5.210645,29.8503198565,2007.9479452055
"1011","Motorola","VA76r Tundra",5.15,3.84,2.14,0.95,4.1,480,7.80672,38.6286035355,2007.9506849315
"1013","LG","Glimmer / UX-830 / Vantage / Spyder",4.48,4,2.05,0.59,3.5,168,4.838,19.9077055162,2007.9808219178
"1014","LG","AX-300 / UX-300",2.86,3.6,1.87,0.72,3.3,180,4.84704,25.4961697357,2008
"1012","Samsung","Instinct M800",4.44,4.55,2.16,0.49,5.8,1000,4.81572,111.1744953391,2008.0109589041
"996","Nokia","6205",3.3,3.62,1.77,0.72,4,264,4.613328,35.8888194701,2008.0273972603
"1018","Samsung","Access A827",3.46,4.49,2.28,0.47,4,400,4.811484,50.7768618062,2008.0273972603
"1052","LG","enV2 (VX-9100)",4.23,4,2.13,0.65,5.3,520,5.538,55.947993448,2008.0383561644
"1040","Motorola","W755",3.6,3.9,1.9,0.68,3.7,390,5.0388,47.2866601843,2008.0438356164
"1020","Motorola","W376 / W377",3.35,3.9,1.77,0.73,7.5,250,5.03919,34.2702930795,2008.0465753425
"1021","LG","600g",3.17,3.89,1.79,0.54,6.5,312,3.760074,49.7108688883,2008.0465753425
"1000","HTC","S730",5.29,4.17,2.01,0.76,5.3,290,6.370092,27.1438681616,2008.0493150685
"1022","BlackBerry","Pearl 8110",3.2,4.2,1.97,0.55,4,360,4.5507,49.0278297444,2008.0575342466
"1023","UTStarcom","CDM-7126",3,3.6,1.9,0.7,5.2,248,4.788,35.1823317925,2008.0602739726
"1024","Nokia","6301 / 6300i",3.27,4.2,1.72,0.52,3.5,336,3.75648,50.3096856463,2008.0794520548
"1025","Pantech","Breeze C520",3.49,3.9,1.96,0.75,3,250,5.733,28.7325165348,2008.0821917808
"975","Nokia","5610",3.92,3.88,1.91,0.67,6,312,4.965236,38.4908178016,2008.0876712329
"1019","Motorola","i570",4.59,3.6,1.97,1,4.1,70,7.092,7.7469611368,2008.0876712329
"1027","Motorola","Z6w",3.88,4.15,1.79,0.68,7,400,5.05138,48.704679456,2008.1232876712
"1028","LG","Decoy VX-8610",4.05,4.01,1.97,0.67,3.8,330,5.292799,37.3549725302,2008.1397260274
"1009","Palm","Centro 685 (GSM)",4.4,4.22,2.11,0.73,4,300,6.500066,29.3576204034,2008.1424657534
"1029","Kyocera","Mako S4000",2.91,3.5,1.84,0.67,4.1,250,4.3148,37.4404827815,2008.1424657534
"1030","Samsung","MyShot R430",3.2,3.64,1.87,0.77,3,325,5.241236,40.2784615902,2008.1452054795
"1031","Samsung","Spex R210A",3.4,4.07,1.77,0.59,3.5,325,4.250301,44.769480312,2008.1452054795
"1032","Sanyo","PRO-700",3.8,4,1.8,0.8,5,1050,5.76,112.4476987448,2008.1452054795
"1033","Sanyo","PRO-200",3.4,4,1.7,0.7,4.9,1050,4.76,131.6789215686,2008.1452054795
"1035","Samsung","Slash M310",2.99,3.82,1.81,0.66,3.5,168,4.563372,24.5585680144,2008.1534246575
"1038","ZTE","C79",3.74,4.07,1.96,0.77,3.6,200,6.142444,22.0593205486,2008.1616438356
"1010","Nokia","2605 Mirage",2.33,3.23,1.65,0.63,3.5,240,3.357585,45.2740486516,2008.1671232877
"1039","Nokia","6650 fold",3.95,3.93,1.86,0.64,4,348,4.678272,42.6504866791,2008.1671232877
"1042","LG","Dare VX-9700",3.76,4.1,2.2,0.5,4.7,360,4.51,46.3724304716,2008.1780821918
"1002","Samsung","SGH-A227 / A226",3.4,3.5,1.76,0.79,4,380,4.8664,48.3886576986,2008.1808219178
"1044","Sanyo","Katana LX",3.4,3.7,1.9,0.7,4.8,840,4.921,103.8336738373,2008.1890410959
"1041","Nokia","N78",3.59,4.45,1.93,0.59,3.2,320,5.067215,38.8115577585,2008.194520548
"1043","UTStarcom","Arc CDM-8074",3,3.6,1.9,0.8,3.5,348,5.472,43.142115203,2008.194520548
"1045","Motorola","W260g",3.17,3.74,1.77,0.67,6.5,432,4.435266,61.0761017432,2008.194520548
"1047","Nokia","6210 Navigator",4.13,4.06,1.93,0.59,3.7,242,4.623122,29.7608099145,2008.2136986301
"1036","Samsung","SGH-T229",3,3.5,1.9,0.78,6,192,5.187,27.1161597655,2008.2164383562
"1056","Motorola","Adventure V750",3.9,4,2,0.65,3.8,83,5.2,11.2087912088,2008.2191780822
"1048","Nokia","6220 Classic",3.17,4.25,1.83,0.6,3.5,250,4.6665,34.1351368596,2008.2219178082
"1068","Motorola","Rapture VU30",3.4,3.9,1.9,0.67,4.5,470,4.9647,58.878381771,2008.2356164384
"1051","Pantech","Ocean 2",5.96,4.63,2.28,0.83,5.4,240,8.761812,18.1363544107,2008.2383561644
"1053","BlackBerry","Curve 8330",4.02,4.2,2.4,0.6,4.3,264,6.048,28.3571712356,2008.2493150685
"1046","Samsung","SGH-T339 / T336",3.3,3.62,1.83,0.78,6.5,264,5.167188,35.0175288419,2008.2657534247
"1098","Nokia","E71 / E71x",4.44,4.49,2.24,0.39,4.5,480,3.922464,60.0899447818,2008.2684931507
"1059","LG","Invision",2.85,4.05,2.08,0.47,3,250,3.95928,38.9174773251,2008.2739726027
"1049","LG","Wine UX-280",3.32,3.89,1.93,0.66,4,250,4.955082,32.628075468,2008.2849315069
"1055","UTStarcom","Blitz TXT8010",4.55,3.48,2.61,0.74,4.7,280,6.721272,26.926863268,2008.2876712329
"1008","HTC","Touch Dual",4.23,4.21,2.17,0.62,3,250,5.664134,26.7835466954,2008.2931506849
"1061","Nokia","1680",2.6,4.25,1.81,0.59,7.6,424,4.538575,64.71879892,2008.3068493151
"1037","Huawei","M328",3.25,3.5,1.79,0.75,3.3,200,4.69875,27.2369869476,2008.3123287671
"1058","Kyocera","Adreno S2400 / TNT!",2.56,3.53,1.78,0.66,3.3,200,4.147044,32.2794960045,2008.3123287671
"1063","Casio","G'zOne Boulder",4.9,3.9,2,0.9,3.6,63,7.02,6.7953020134,2008.3150684932
"997","PCD","Shuttle CDM-8964 / CDM-8965",3.4,3.9,1.87,0.7,4,321,5.1051,40.0935909043,2008.3232876712
"1064","Pantech","C610",3.35,3.66,1.81,0.72,3,240,4.769712,31.4050547606,2008.3260273973
"1065","ZTE","C78",3.5,4.3,1.9,0.55,3.5,180,4.4935,24.7075749046,2008.3260273973
"1066","Samsung","Messager R450",4.58,4.4,2,0.7,4,250,6.16,25.1396648045,2008.3287671233
"1075","Samsung","SCH-U430",3.21,3.67,1.85,0.78,5,336,5.29581,42.4415781683,2008.3287671233
"1076","Samsung","Saga i770",4.59,2.44,4.88,0.53,5,325,6.310816,32.107688085,2008.3342465753
"1017","Sony","Ericsson W350",2.8,4.1,1.7,0.4,7,300,2.788,59.9498926271,2008.3479452055
"1072","Samsung","SGH-A237",2.9,3.4,1.78,0.82,3,250,4.96264,33.7036923985,2008.3479452055
"1080","Samsung","SGH-A137",2.86,3.46,1.76,0.78,5,250,4.749888,36.1371941348,2008.3616438356
"1081","LG","Chocolate 3 VX-8560",3.53,3.87,1.95,0.69,4.5,350,5.207085,42.6343568822,2008.3643835616
"1082","Samsung","Gloss SCH-U440",3.55,2.55,2.94,0.82,3,250,6.14754,27.3265178592,2008.3643835616
"1083","Sharp","Sidekick 2008",4.8,2.26,4.72,0.73,5,96,7.787056,9.6130501048,2008.3808219178
"1016","Sony","Ericsson W760",3.7,4.05,1.9,0.63,4,350,4.84785,43.285738519,2008.3835616438
"1084","Sony","Ericsson Z780",3.39,3.74,1.89,0.67,4.5,350,4.735962,45.8407263042,2008.3835616438
"1099","Nokia","E66",4.27,4.21,1.93,0.51,3.5,336,4.143903,42.0137955001,2008.3835616438
"1085","LG","AX-155",2.9,3.49,1.91,0.88,3.3,250,5.865992,30.4015791938,2008.3863013699
"1073","Samsung","Rugby A837",4.66,3.95,2.05,0.9,5,250,7.28775,23.0168860246,2008.3890410959
"1079","LG","Lotus",3.7,3.3,2.4,0.7,5.5,168,5.544,21.1488533103,2008.3890410959
"1086","Pantech","Matrix Pro C820",5.34,4.2,2,0.9,6,288,7.56,24.6511627907,2008.4054794521
"1087","LG","CP150",2.86,3.46,1.85,0.74,3.5,456,4.73674,62.3293675972,2008.4109589041
"1104","Motorola","Krave ZN4",4.52,4.12,2.01,0.74,4.2,500,6.128088,48.928972037,2008.4191780822
"1088","HTC","Shadow (2009)",5.29,4.06,2.05,0.59,7,158,4.91057,18.9205113048,2008.4219178082
"1090","Nokia","1606",2.68,3.3,1.73,0.63,3.5,240,3.59667,41.0249383829,2008.4246575343
"1091","Nokia","6600 Fold",3.88,3.45,1.73,0.63,4,300,3.760155,41.8839670138,2008.4246575343
"1096","Samsung","Epix i907",4.4,4.6,2.4,0.5,7,336,5.52,37.3991935484,2008.4301369863
"1097","Apple","iPhone 3G",4.7,4.52,2.44,0.49,5,300,5.404112,32.1651224769,2008.4383561644
"1092","LG","VX-8360",3.35,3.64,1.91,0.78,5.3,641,5.422872,76.086827666,2008.4438356164
"1054","Samsung","JetSet R550",3.32,3.64,1.85,0.69,3.5,250,4.64646,33.578276926,2008.4465753425
"1074","Nokia","3606",3.1,3.5,1.9,0.6,3.5,240,3.99,36.3187588152,2008.4520547945
"1100","LG","Rhythm AX-585",4.1,4.06,1.93,0.64,3.3,180,5.014912,21.5580797708,2008.4575342466
"1102","Sony","Ericsson TM506",3.56,3.74,1.86,0.7,3.5,250,4.86948,31.7338673323,2008.4630136986
"1152","Nokia","2600 Classic",2.58,4.31,1.84,0.47,3,384,3.727288,63.2601523825,2008.4657534247
"1107","Samsung","Knack U310",3.63,3.78,2.01,0.74,4.5,366,5.622372,41.9892325989,2008.4794520548
"1071","Samsung","M220",3.1,3.5,1.9,0.8,3.5,800,5.32,97.0902612827,2008.4849315069
"1105","Samsung","M320",3.5,3.7,1.85,0.75,4.4,1000,5.13375,118.3726654119,2008.4849315069
"1103","Motorola","ZINE ZN5",3.9,4.65,1.99,0.47,5.5,456,4.349145,58.6121349546,2008.495890411
"1109","HTC","Touch Pro (CDMA)",5.3,4.01,2,0.71,3.8,1340,5.6942,123.61063106,2008.495890411
"1077","BlackBerry","Bold 9000",4.8,4.49,2.6,0.59,5,312,6.88766,28.8338298684,2008.5205479452
"1112","HTC","Touch Diamond (CDMA)",4.1,3.98,2,0.6,4.2,350,4.776,41.7981072555,2008.5232876712
"1113","Pantech","Slate C530",3.25,4.24,2.53,0.41,3,240,4.398152,33.3413875666,2008.5452054795
"1115","LG","Incite CT810",4.23,4.2,2.17,0.55,8.7,510,5.0127,59.8850985102,2008.5452054795
"1116","Sanyo","Katana Eclipse",3.4,3.6,1.9,0.7,4.6,840,4.788,105.3981436248,2008.5452054795
"1117","Samsung","SGH-T109",3.1,3.5,1.77,0.78,4,240,4.8321,32.7782050151,2008.5534246575
"1093","LG","Swift AX-500",3,3.66,1.92,0.79,3,140,5.551488,18.1255004977,2008.5589041096
"1120","PCD","CDM-8950",3.2,3.7,1.9,0.8,4.7,280,5.624,34.3948322756,2008.5589041096
"1121","LG","VX-5500",3.05,3.56,1.84,0.73,5,440,4.781792,59.3733847886,2008.5589041096
"1122","Nokia","6600 Slide",3.88,3.66,1.77,0.55,4,348,3.56301,49.4423627,2008.5589041096
"1095","Samsung","Sway U650",3.56,4.15,1.96,0.47,4.5,312,3.82298,45.3069085925,2008.5643835616
"1119","Samsung","Renown U810",4.05,3.87,1.95,0.69,4.5,312,5.207085,36.1344850998,2008.5726027397
"1069","Samsung","SGH-A637",3.24,4.41,1.92,0.57,5,350,4.826304,46.4896934209,2008.5753424658
"1125","Motorola","VE240",3.3,4.39,1.77,0.6,4.5,350,4.66218,46.783669799,2008.594520548
"1110","Motorola","VU204",3.4,3.65,2.09,0.76,4,447,5.79766,50.7737837667,2008.6136986301
"1129","Motorola","EM330 / EM28",3.17,3.71,1.95,0.68,7.5,250,4.91946,35.5400731322,2008.6136986301
"1168","PCD","QuickFire",4.8,4.3,2.2,0.7,3,288,6.622,26.5277534582,2008.6136986301
"1070","Pantech","Matrix C740",4.83,4,1.95,0.83,3,240,6.474,22.5583864119,2008.6191780822
"1130","Samsung","Hue II R600",3.4,3.8,1.9,0.7,3,200,5.054,25.4317482848,2008.6191780822
"1131","HTC","G1",5.6,4.62,2.19,0.67,5.8,402,6.778926,34.8172369719,2008.6301369863
"1132","Palm","Treo Pro (GSM)",4.69,4.49,2.36,0.53,5,250,5.616092,26.6832471513,2008.6356164384
"1060","Nokia","2680 slide",3.33,3.9,1.85,0.61,3.4,420,4.40115,56.5245791376,2008.6383561644
"1135","PCD","CDM-8975",3.8,3.9,1.9,0.9,4.8,89,6.669,10.793772089,2008.6520547945
"1138","Nokia","N79",3.42,4.33,1.93,0.59,3.5,400,4.930571,49.9965810721,2008.6547945206
"1118","Pantech","C630",2.77,4.1,1.7,0.46,5,384,3.2062,68.4381379472,2008.6575342466
"1136","Samsung","Omnia i910",4.16,4.4,2.24,0.51,5.8,464,5.02656,53.665354605,2008.6575342466
"1057","Kyocera","Neo E1100",3.21,3.51,2.05,0.65,4.2,200,4.677075,28.020527255,2008.6602739726
"1128","Samsung","Delve R800",3.63,4.55,2.15,0.49,4.7,350,4.793425,44.3406334122,2008.6602739726
"1015","HTC","Touch Cruise",4.59,4.33,2.28,0.61,7,400,6.022164,40.9906970906,2008.6739726027
"1133","Samsung","Behold T919",4,4.12,2.1,0.5,5,300,4.326,39.0343502282,2008.6794520548
"1134","LG","Versa VX-9600",3.81,4.16,2.07,0.54,4.8,430,4.650048,53.6639981239,2008.6794520548
"1142","Nokia","7510",4.73,3.64,1.83,0.66,3,288,4.396392,33.200414797,2008.6904109589
"1137","BlackBerry","Pearl Flip 8220",3.6,3.98,1.97,0.69,4,336,5.410014,39.5115923238,2008.695890411
"1089","HTC","Fuze / Touch Pro (GSM)",5.82,4.02,2.01,0.71,6.3,462,5.736942,42.7016073975,2008.698630137
"1145","Motorola","Evoke QA4",4.52,4.25,1.99,0.69,5.5,450,5.835675,46.1099831735,2008.7123287671
"1127","Samsung","Propel A767",3.79,3.85,2.33,0.58,5,250,5.20289,30.5797135292,2008.7178082192
"1140","Samsung","Gravity T459 / Strike",4.3,4.53,2.07,0.7,6,300,6.56397,30.3756361625,2008.7260273973
"1141","LG","CF360",3.51,3.97,1.89,0.67,3,250,5.027211,31.0405822229,2008.7260273973
"1146","Samsung","Eternity SGH-A867",3.88,4.3,2.2,0.5,5,250,4.73,31.9396051103,2008.7260273973
"1147","Samsung","Jitterbug J / SPH-A310",3.99,3.87,2.16,0.97,4,264,8.108424,23.4741318373,2008.7287671233
"1114","Samsung","SGH-A777",3.4,4,1.9,0.56,3,250,4.256,34.6133751306,2008.7315068493
"1148","Samsung","Byline R310",3.25,3.5,1.7,0.77,3.5,200,4.5815,27.7724573836,2008.7342465753
"1062","Nokia","N96",4.41,4.06,2.17,0.71,3.7,220,6.255242,22.3623617729,2008.7369863014
"1144","Motorola","Hint QA30",4.23,3.23,2.43,0.67,4.5,360,5.258763,40.3108392527,2008.7369863014
